Month,Product Name,Brand,Product Category,Sales
July,Blue Ball,Brand A,Category I,68
July,Green Ball,Brand A,Category I,123
July,Red Ball,Brand B,Category I,579
July,Orange Ball,Brand C,Category I,1293
July,Pink Ball,Brand C,Category I,1098
July,Cool Chair,Brand A,Category II,39
July,Comfy Chair,Brand B,Category II,281
July,Hard Wood Chair,Brand D,Category II,0
July,Racing Chair,Brand D,Category II,14
July,Lean Back Chair,Brand A,Category II,147
July,Cool Cup,Brand A,Category III,223
July,Cup 2000,Brand A,Category III,122
July,Cuppers Cup Cup,Brand B,Category III,968
July,Cupolicious,Brand B,Category III,1289
July,Red Cup,Brand C,Category III,890
July,Blue Cup,Brand C,Category III,1790
July,PenStart,Brand D,Category IV,67
July,Pencil 2000,Brand A,Category IV,99
July,Pencil Starter,Brand B,Category IV,467
July,Pencil Master,Brand B,Category IV,861
July,Old Pen,Brand D,Category IV,109
July,PenZel,Brand B,Category IV,792
